id,"name","odptrailway","created_at","updated_at"
91,"相鉄本線","odpt.Railway:Sotetsu.Main","2019-11-30 14:04:25","2019-11-30 14:04:25"
92,"ブルーライン","odpt.Railway:YokohamaMunicipal.Blue","2019-11-30 14:04:25","2019-11-30 14:04:25"
93,"磐越西線","odpt.Railway:JR-East.BanetsuWest","2019-11-30 14:04:25","2019-11-30 14:04:25"
94,"釜石線","odpt.Railway:JR-East.Kamaishi","2019-11-30 14:04:25","2019-11-30 14:04:25"
95,"気仙沼線","odpt.Railway:JR-East.Kesennuma","2019-11-30 14:04:25","2019-11-30 14:04:25"
96,"中央線快速","odpt.Railway:JR-East.ChuoRapid","2019-11-30 14:04:25","2019-11-30 14:04:25"
97,"中央・総武各駅停車","odpt.Railway:JR-East.ChuoSobuLocal","2019-11-30 14:04:25","2019-11-30 14:04:25"
98,"中央本線","odpt.Railway:JR-East.Chuo","2019-11-30 14:04:25","2019-11-30 14:04:25"
99,"越後線","odpt.Railway:JR-East.Echigo","2019-11-30 14:04:25","2019-11-30 14:04:25"
100,"五能線","odpt.Railway:JR-East.Gono","2019-11-30 14:04:25","2019-11-30 14:04:25"
101,"八高線","odpt.Railway:JR-East.Hachiko","2019-11-30 14:04:25","2019-11-30 14:04:25"
102,"八戸線","odpt.Railway:JR-East.Hachinohe","2019-11-30 14:04:25","2019-11-30 14:04:25"
103,"花輪線","odpt.Railway:JR-East.Hanawa","2019-11-30 14:04:25","2019-11-30 14:04:25"
104,"伊東線","odpt.Railway:JR-East.Ito","2019-11-30 14:04:25","2019-11-30 14:04:25"
105,"五日市線","odpt.Railway:JR-East.Itsukaichi","2019-11-30 14:04:25","2019-11-30 14:04:25"
106,"常磐線各駅停車","odpt.Railway:JR-East.JobanLocal","2019-11-30 14:04:25","2019-11-30 14:04:25"
107,"陸羽東線","odpt.Railway:JR-East.RikuEast","2019-11-30 14:04:25","2019-11-30 14:04:25"
108,"常磐線快速","odpt.Railway:JR-East.JobanRapid","2019-11-30 14:04:25","2019-11-30 14:04:25"
109,"常磐線","odpt.Railway:JR-East.Joban","2019-11-30 14:04:25","2019-11-30 14:04:25"
110,"上越新幹線","odpt.Railway:JR-East.JoetsuShinkansen","2019-11-30 14:04:25","2019-11-30 14:04:25"
111,"上越線","odpt.Railway:JR-East.Joetsu","2019-11-30 14:04:25","2019-11-30 14:04:25"
112,"烏山線","odpt.Railway:JR-East.Karasuyama","2019-11-30 14:04:25","2019-11-30 14:04:25"
113,"鹿島線","odpt.Railway:JR-East.Kashima","2019-11-30 14:04:25","2019-11-30 14:04:25"
114,"陸羽西線","odpt.Railway:JR-East.RikuWest","2019-11-30 14:04:25","2019-11-30 14:04:25"
115,"川越線(川越-高麗川間)","odpt.Railway:JR-East.Kawagoe","2019-11-30 14:04:25","2019-11-30 14:04:25"
116,"京浜東北線・根岸線","odpt.Railway:JR-East.KeihinTohokuNegishi","2019-11-30 14:04:25","2019-11-30 14:04:25"
117,"京葉線","odpt.Railway:JR-East.Keiyo","2019-11-30 14:04:25","2019-11-30 14:04:25"
118,"北上線","odpt.Railway:JR-East.Kitakami","2019-11-30 14:04:25","2019-11-30 14:04:25"
119,"小海線","odpt.Railway:JR-East.Koumi","2019-11-30 14:04:25","2019-11-30 14:04:25"
120,"久留里線","odpt.Railway:JR-East.Kururi","2019-11-30 14:04:25","2019-11-30 14:04:25"
121,"水戸線","odpt.Railway:JR-East.Mito","2019-11-30 14:04:25","2019-11-30 14:04:25"
122,"山形新幹線","odpt.Railway:JR-East.YamagataShinkansen","2019-11-30 14:04:25","2019-11-30 14:04:25"
123,"武蔵野線","odpt.Railway:JR-East.Musashino","2019-11-30 14:04:25","2019-11-30 14:04:25"
124,"南武線浜川崎支線","odpt.Railway:JR-East.NambuBranch","2019-11-30 14:04:26","2019-11-30 14:04:26"
125,"男鹿線","odpt.Railway:JR-East.Oga","2019-11-30 14:04:26","2019-11-30 14:04:26"
126,"南武線","odpt.Railway:JR-East.Nambu","2019-11-30 14:04:26","2019-11-30 14:04:26"
127,"成田線我孫子支線","odpt.Railway:JR-East.NaritaAbikoBranch","2019-11-30 14:04:26","2019-11-30 14:04:26"
128,"成田線空港支線","odpt.Railway:JR-East.NaritaAirportBranch","2019-11-30 14:04:26","2019-11-30 14:04:26"
129,"成田線","odpt.Railway:JR-East.Narita","2019-11-30 14:04:26","2019-11-30 14:04:26"
130,"日光線","odpt.Railway:JR-East.Nikko","2019-11-30 14:04:26","2019-11-30 14:04:26"
131,"大船渡線","odpt.Railway:JR-East.Ofunato","2019-11-30 14:04:26","2019-11-30 14:04:26"
132,"大糸線","odpt.Railway:JR-East.Oito","2019-11-30 14:04:26","2019-11-30 14:04:26"
133,"青梅線","odpt.Railway:JR-East.Ome","2019-11-30 14:04:26","2019-11-30 14:04:26"
134,"大湊線","odpt.Railway:JR-East.Ominato","2019-11-30 14:04:26","2019-11-30 14:04:26"
135,"奥羽本線","odpt.Railway:JR-East.Ou","2019-11-30 14:04:26","2019-11-30 14:04:26"
136,"両毛線","odpt.Railway:JR-East.Ryomo","2019-11-30 14:04:26","2019-11-30 14:04:26"
137,"相模線","odpt.Railway:JR-East.Sagami","2019-11-30 14:04:26","2019-11-30 14:04:26"
138,"埼京線・川越線","odpt.Railway:JR-East.SaikyoKawagoe","2019-11-30 14:04:26","2019-11-30 14:04:26"
139,"仙石東北ライン","odpt.Railway:JR-East.SensekiTohoku","2019-11-30 14:04:26","2019-11-30 14:04:26"
140,"仙石線","odpt.Railway:JR-East.Senseki","2019-11-30 14:04:26","2019-11-30 14:04:26"
141,"仙山線","odpt.Railway:JR-East.Senzan","2019-11-30 14:04:26","2019-11-30 14:04:26"
142,"信越本線","odpt.Railway:JR-East.Shinetsu","2019-11-30 14:04:26","2019-11-30 14:04:26"
